candleInterval,tp1RR,z1min,z1max,tp1SizePercent,moveSlToBreakeven,totalTrades,winRate,profitFactor,maxDrawdown,expectancy,finalCapital,sharpeRatio,sortinoRatio
1,1.5,1.95,2.06,100,false,234,94.02,15.4712,1.00,0.8658,74977.48,1.8165,3.5396
1,2,1.95,2.06,100,false,234,91.03,14.0040,1.00,1.1670,150228.39,1.7006,3.8956
1,1.5,1.9,2.06,100,false,236,92.37,13.5783,1.99,0.9594,94833.62,1.6943,3.4738
1,1.5,1.95,2.1,100,false,234,91.88,12.4308,1.00,0.9281,86534.99,1.6099,3.2572
1,2.5,1.95,2.06,100,false,234,86.75,11.6286,1.99,1.4081,260898.25,1.4877,3.8685
1,3,1.95,2.06,100,false,234,82.48,10.2188,1.99,1.6153,417906.76,1.3343,3.8589
2,1.5,1.95,2.06,100,false,388,91.24,10.1921,2.97,0.8055,223462.08,1.4274,2.7211
1,2,1.95,2.1,100,false,234,86.75,9.9309,1.99,1.1832,155466.41,1.3819,3.2506
1,1.5,1.85,2.06,100,false,241,87.97,8.7602,2.97,0.9338,93357.38,1.3012,2.6919
1,1.5,1.95,2.15,100,false,234,87.61,8.3794,1.99,0.9145,83666.49,1.2670,2.5978
4,1.5,1.95,2.06,100,false,461,89.15,8.1112,2.99,0.7713,342275.72,1.2372,2.3419
1,2,1.9,2.06,100,false,236,83.90,8.0503,1.99,1.1352,142075.00,1.2103,2.8291
1,1.5,1.9,2.1,100,false,236,86.86,7.8479,1.99,0.8995,82230.27,1.2150,2.4819
2,2,1.95,2.06,100,false,388,84.54,7.5026,2.97,1.0056,478369.38,1.1665,2.5571
3,1.5,1.95,2.06,100,false,445,88.31,7.4521,2.06,0.7540,280324.66,1.1727,2.2056
5,1.5,1.95,2.06,100,false,462,88.10,7.3051,2.05,0.7506,313505.72,1.1595,2.1755
4,2,1.95,2.06,100,false,461,83.73,7.1213,2.60,0.9959,946705.09,1.1249,2.4690
1,2.5,1.95,2.1,100,false,234,77.78,6.7744,2.97,1.2832,194205.04,1.0492,2.7221
1,2,1.85,2.06,100,false,241,80.50,6.7549,2.97,1.1223,145366.19,1.0720,2.5414
1,2.5,1.9,2.06,100,false,236,76.69,6.4746,3.94,1.2759,195629.96,1.0150,2.6429
1,1.5,1.85,2.1,100,false,241,83.82,6.4224,2.97,0.8775,81445.33,1.0616,2.1813
5,2,1.95,2.06,100,false,462,82.25,6.4174,2.68,0.9615,816044.89,1.0510,2.2823
4,1.5,1.95,2.1,100,false,461,85.25,6.3625,3.94,0.7910,373113.09,1.0572,2.0595
2,1.5,1.95,2.1,100,false,388,85.31,6.3510,2.97,0.7861,206454.76,1.0571,2.0510
6,1.5,1.95,2.06,100,false,479,86.43,6.3268,2.08,0.7228,311471.96,1.0517,1.9623
2,1.5,1.9,2.06,100,false,397,84.89,6.2681,3.94,0.7962,230334.89,1.0475,2.0480
3,2,1.95,2.06,100,false,445,81.80,6.2213,3.94,0.9504,660528.00,1.0277,2.2276
2,2.5,1.95,2.06,100,false,388,77.84,6.2108,3.94,1.1550,839415.30,1.0007,2.4532
2,3,1.95,2.06,100,false,388,73.71,6.0635,3.94,1.3311,1629538.82,0.9532,2.5962
